rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
103,frame_0318.jpg,127.2,0.5095,0.623,0.5,0.24,11,3,False,False
104,frame_0110.jpg,44.0,0.5066,0.6651,0.5,0.12,8,3,False,False
105,frame_0169.jpg,67.6,0.505,0.6021,0.3333,0.52,10,2,False,False
106,frame_0399.jpg,159.6,0.5034,0.5948,0.5,0.28,11,3,False,False
107,frame_0089.jpg,35.6,0.4993,0.6386,0.3333,0.4,8,2,False,False
108,frame_0130.jpg,52.0,0.499,0.43,0.3333,0.92,10,2,False,False
109,frame_0070.jpg,28.0,0.4975,0.495,0.1667,1.0,12,1,False,False
110,frame_0180.jpg,72.0,0.4957,0.6593,0.5,0.08,13,3,False,False
111,frame_0176.jpg,70.4,0.495,0.694,0.3333,0.24,9,2,False,False
112,frame_0301.jpg,120.4,0.4943,0.5126,0.5,0.44,14,3,False,False
113,frame_0102.jpg,40.8,0.4926,0.5372,0.6667,0.12,11,4,False,False
114,frame_0322.jpg,128.8,0.4914,0.6188,0.5,0.16,11,3,False,False
115,frame_0375.jpg,150.0,0.4863,0.7926,0.1667,0.2,11,1,False,False
116,frame_0202.jpg,80.8,0.4857,0.5314,0.3333,0.6,7,2,False,False
117,frame_0025.jpg,10.0,0.4856,0.3712,0.3333,1.0,11,2,False,False
118,frame_0075.jpg,30.0,0.485,0.486,0.1667,0.96,13,1,False,False
119,frame_0113.jpg,45.2,0.4817,0.5674,0.5,0.24,9,3,False,False
120,frame_0291.jpg,116.4,0.4814,0.5267,0.1667,0.84,10,1,False,False
121,frame_0192.jpg,76.8,0.4808,0.6816,0.3333,0.2,10,2,False,False
122,frame_0109.jpg,43.6,0.4801,0.7282,0.3333,0.08,13,2,False,False
123,frame_0228.jpg,91.2,0.4786,0.5411,0.6667,0.04,11,4,False,False
124,frame_0288.jpg,115.2,0.4784,0.5688,0.1667,0.72,10,1,False,False
125,frame_0317.jpg,126.8,0.4777,0.4753,0.6667,0.2,10,4,False,False
126,frame_0005.jpg,2.0,0.4769,0.3538,0.3333,1.0,7,2,False,False
127,frame_0073.jpg,29.2,0.4766,0.4532,0.1667,1.0,9,1,False,False
128,frame_0315.jpg,126.0,0.4748,0.7017,0.3333,0.12,11,2,False,False
129,frame_0316.jpg,126.4,0.4698,0.5756,0.5,0.16,13,3,False,False
130,frame_0185.jpg,74.0,0.4689,0.6058,0.5,0.08,10,3,False,False
131,frame_0201.jpg,80.4,0.4685,0.5131,0.3333,0.56,7,2,False,False
132,frame_0280.jpg,112.0,0.4683,0.5767,0.3333,0.4,10,2,False,False
133,frame_0131.jpg,52.4,0.4656,0.4472,0.1667,0.96,8,1,False,False
134,frame_0222.jpg,88.8,0.465,0.7499,0.1667,0.2,10,1,False,False
135,frame_0028.jpg,11.2,0.464,0.3281,0.3333,1.0,10,2,False,False
136,frame_0319.jpg,127.6,0.4619,0.6119,0.3333,0.28,10,2,False,False
137,frame_0370.jpg,148.0,0.4614,0.8068,0.1667,0.04,14,1,False,False
138,frame_0078.jpg,31.2,0.4606,0.4851,0.1667,0.84,8,1,False,False
139,frame_0387.jpg,154.8,0.4587,0.6374,0.3333,0.2,14,2,False,False
140,frame_0323.jpg,129.2,0.4576,0.5671,0.5,0.12,10,3,False,False
141,frame_0398.jpg,159.2,0.4573,0.5187,0.5,0.24,11,3,False,False
142,frame_0175.jpg,70.0,0.4566,0.5013,0.5,0.28,8,3,False,False
143,frame_0225.jpg,90.0,0.456,0.58,0.5,0.08,10,3,False,False
144,frame_0273.jpg,109.2,0.4532,0.5583,0.5,0.12,11,3,False,False
145,frame_0081.jpg,32.4,0.4523,0.4166,0.3333,0.72,10,2,False,False
146,frame_0120.jpg,48.0,0.4522,0.4965,0.3333,0.52,8,2,False,False
147,frame_0395.jpg,158.0,0.4509,0.5538,0.5,0.12,9,3,False,False
148,frame_0233.jpg,93.2,0.4499,0.6038,0.3333,0.24,15,2,False,False
149,frame_0014.jpg,5.6,0.4462,0.3923,0.1667,1.0,6,1,False,False
150,frame_0172.jpg,68.8,0.4444,0.6287,0.1667,0.4,9,1,False,False
151,frame_0108.jpg,43.2,0.4441,0.4722,0.6667,0.04,15,4,False,False
152,frame_0168.jpg,67.2,0.4432,0.5623,0.1667,0.56,7,1,False,False
153,frame_0117.jpg,46.8,0.443,0.526,0.3333,0.4,11,2,False,False
154,frame_0213.jpg,85.2,0.4424,0.5607,0.1667,0.56,6,1,False,False
155,frame_0267.jpg,106.8,0.4418,0.5356,0.5,0.12,9,3,False,False
156,frame_0098.jpg,39.2,0.4388,0.6616,0.3333,0.04,10,2,False,False
157,frame_0092.jpg,36.8,0.4386,0.4652,0.5,0.28,10,3,False,False
158,frame_0167.jpg,66.8,0.4366,0.5332,0.1667,0.6,8,1,False,False
159,frame_0391.jpg,156.4,0.4332,0.6505,0.3333,0.04,12,2,False,False
160,frame_0178.jpg,71.2,0.4314,0.4988,0.5,0.16,11,3,False,False
161,frame_0397.jpg,158.8,0.4304,0.4809,0.5,0.2,10,3,False,False
162,frame_0386.jpg,154.4,0.4281,0.5603,0.3333,0.24,12,2,False,False
163,frame_0333.jpg,133.2,0.4266,0.7212,0.1667,0.08,13,1,False,False
164,frame_0332.jpg,132.8,0.4265,0.5371,0.5,0.04,11,3,False,False
165,frame_0114.jpg,45.6,0.4231,0.6342,0.1667,0.28,12,1,False,False
166,frame_0308.jpg,123.2,0.4229,0.4818,0.5,0.16,8,3,False,False
167,frame_0016.jpg,6.4,0.4217,0.4433,0.0,1.0,7,0,False,False
168,frame_0209.jpg,83.6,0.4205,0.353,0.3333,0.72,7,2,False,False
169,frame_0015.jpg,6.0,0.4141,0.3281,0.1667,1.0,7,1,False,False
170,frame_0283.jpg,113.2,0.413,0.5179,0.1667,0.52,8,1,False,False
171,frame_0170.jpg,68.0,0.4122,0.5324,0.1667,0.48,11,1,False,False
172,frame_0129.jpg,51.6,0.4097,0.2675,0.3333,0.88,9,2,False,False
173,frame_0294.jpg,117.6,0.4086,0.4292,0.1667,0.72,10,1,False,False
174,frame_0277.jpg,110.8,0.4076,0.4031,0.5,0.28,12,3,False,False
175,frame_0396.jpg,158.4,0.4076,0.6512,0.1667,0.16,10,1,False,False
176,frame_0173.jpg,69.2,0.4069,0.4698,0.3333,0.36,10,2,False,False
177,frame_0210.jpg,84.0,0.4037,0.4353,0.1667,0.68,8,1,False,False
178,frame_0309.jpg,123.6,0.3967,0.4454,0.5,0.12,11,3,False,False
179,frame_0368.jpg,147.2,0.3938,0.7716,0.0,0.04,16,0,False,False
180,frame_0208.jpg,83.2,0.3933,0.3826,0.1667,0.76,8,1,False,False
181,frame_0284.jpg,113.6,0.3929,0.4618,0.1667,0.56,9,1,False,False
182,frame_0204.jpg,81.6,0.3925,0.413,0.1667,0.68,5,1,False,False
